observation_date,DRSDCILM
2008-01-01,-16.4
2008-04-01,0.0
2008-07-01,-3.8
2008-10-01,-16.7
2009-01-01,-60.4
2009-04-01,-60.4
2009-07-01,-44.4
2009-10-01,-31.6
2010-01-01,-25.5
2010-04-01,-7.1
2010-07-01,1.8
2010-10-01,-7.0
2011-01-01,28.1
2011-04-01,27.3
2011-07-01,20.0
2011-10-01,-15.7
2012-01-01,19.6
2012-04-01,31.0
2012-07-01,7.9
2012-10-01,-6.2
2013-01-01,19.1
2013-04-01,5.9
2013-07-01,15.3
2013-10-01,1.4
2014-01-01,16.4
2014-04-01,13.9
2014-07-01,30.7
2014-10-01,15.8
2015-01-01,17.8
2015-04-01,0.0
2015-07-01,10.0
2015-10-01,2.9
2016-01-01,-11.1
2016-04-01,-8.7
2016-07-01,4.3
2016-10-01,-5.9
2017-01-01,0.0
2017-04-01,-6.9
2017-07-01,-11.8
2017-10-01,-11.3
2018-01-01,2.9
2018-04-01,-7.0
2018-07-01,2.9
2018-10-01,-14.5
2019-01-01,-8.3
2019-04-01,-16.9
2019-07-01,-1.4
2019-10-01,-21.6
2020-01-01,-11.1
2020-04-01,7.6
2020-07-01,-23.3
2020-10-01,-35.3
2021-01-01,-11.1
2021-04-01,-6.9
2021-07-01,5.6
2021-10-01,7.6
2022-01-01,21.7
2022-04-01,12.3
2022-07-01,24.2
2022-10-01,-8.8
2023-01-01,-31.3
2023-04-01,-55.6
2023-07-01,-51.6
2023-10-01,-30.5
2024-01-01,-25.0
2024-04-01,-26.6
2024-07-01,0.0
2024-10-01,-21.3
